INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp:	2021/01/01 al 2021/12/31
average_interval: 001h
"Fecha","Hora","Noroeste ozono","Noroeste dióxido de azufre","Noroeste dióxido de nitrógeno","Noroeste monóxido de carbono","Noroeste PM10","Noroeste PM25","Noreste ozono","Noreste dióxido de azufre","Noreste dióxido de nitrógeno","Noreste monóxido de carbono","Noreste PM10","Noreste PM25","Centro ozono","Centro dióxido de azufre","Centro dióxido de nitrógeno","Centro monóxido de carbono","Centro PM10","Centro PM25","Suroeste ozono","Suroeste dióxido de azufre","Suroeste dióxido de nitrógeno","Suroeste monóxido de carbono","Suroeste PM10","Suroeste PM25","Sureste ozono","Sureste dióxido de azufre","Sureste dióxido de nitrógeno","Sureste monóxido de carbono","Sureste PM10","Sureste PM25"
"01/01/2021",1,18,4,14,6,90,34,14,4,17,9,109,63,5,4,17,6,68,40,14,2,16,5,63,43,18,2,9,4,80,39
"01/01/2021",2,14,4,18,7,93,38,16,4,15,10,112,65,3,4,18,7,65,44,15,2,12,5,64,51,15,2,13,4,83,44
"01/01/2021",3,6,4,17,7,100,44,17,6,14,13,114,67,4,4,19,8,64,51,18,2,10,6,67,55,14,2,11,4,87,54
"01/01/2021",4,6,4,16,8,102,51,15,6,14,15,118,69,2,4,18,8,65,53,19,2,11,6,67,57,14,2,14,4,90,57
"01/01/2021",5,4,4,15,9,102,54,15,6,15,16,123,70,4,4,17,9,67,56,17,2,12,7,65,58,13,2,12,4,91,69
"01/01/2021",6,3,4,14,8,103,56,13,6,15,17,127,71,2,4,15,9,68,59,18,2,11,6,64,61,15,2,13,5,93,73
"01/01/2021",7,6,4,14,7,104,58,6,6,16,18,129,74,4,4,14,9,70,63,20,2,11,6,65,63,14,2,14,5,93,73
"01/01/2021",8,5,4,14,8,105,60,7,6,15,18,133,78,7,4,14,8,73,66,20,2,10,6,64,64,16,2,12,5,93,79
"01/01/2021",9,12,4,15,8,106,62,17,6,15,18,135,82,13,4,15,7,74,68,20,2,10,5,64,65,19,2,12,6,93,82
"01/01/2021",10,24,4,14,7,106,64,24,8,11,17,136,88,24,4,13,7,74,71,27,2,6,5,64,67,27,2,12,6,90,83
"01/01/2021",11,37,4,13,7,107,67,40,8,11,15,136,90,33,4,10,7,73,75,36,2,4,5,63,68,36,2,7,6,84,86
"01/01/2021",12,55,4,12,6,107,70,48,8,8,13,134,91,41,6,11,6,67,76,43,2,4,4,57,69,44,2,6,6,74,86
"01/01/2021",13,71,4,8,6,105,71,46,8,4,11,130,91,55,6,7,6,64,78,49,2,4,4,51,69,41,2,3,5,68,87
"01/01/2021",14,46,4,4,5,103,72,41,8,3,9,129,90,46,6,4,5,63,79,49,2,3,3,48,70,33,2,1,5,68,87
"01/01/2021",15,44,4,2,5,101,71,39,8,4,7,127,90,41,6,3,5,61,81,45,2,2,3,46,71,34,2,1,4,68,87
"01/01/2021",16,37,4,2,4,99,71,36,8,5,5,127,89,35,6,3,4,61,82,38,2,1,2,45,72,35,2,2,3,70,87
"01/01/2021",17,36,4,3,3,96,72,37,8,6,4,127,89,34,6,2,3,61,83,36,2,2,2,45,73,39,2,2,2,70,89
"01/01/2021",18,33,4,3,2,94,72,36,8,7,3,126,89,34,6,4,2,61,85,34,2,3,1,45,73,39,2,3,1,71,91
"01/01/2021",19,29,4,9,2,93,71,34,8,8,3,126,89,33,6,8,2,63,87,31,2,5,1,44,73,38,2,6,1,87,91
"01/01/2021",20,22,4,12,2,93,71,27,8,12,4,127,89,24,6,15,2,64,88,28,2,7,1,43,73,34,2,6,1,84,91
"01/01/2021",21,24,4,19,2,91,71,24,8,14,4,127,89,21,6,20,2,67,89,16,2,18,2,44,73,29,2,7,2,80,92
"01/01/2021",22,21,4,25,3,93,72,21,8,14,5,127,89,16,6,21,3,68,89,16,2,16,3,45,74,26,2,8,2,81,93
