Pollutants
	city: Ciudad de M&eacute;xico,averages ps
	cityCode: MEX
	country: M&eacute;xico
	mesurementAgency: SIMAT
	URL: http://www.aire.df.gob.mx
	timeStamp: 2022/01/01 al 2022/11/11
	average_interval: 001h
	date,"id_station",id_parameter,value,unit
01/01/2022,ACO,PM10,119,2
01/01/2022,AJU,PM2.5,29,2
01/01/2022,ATI,PM10,47,2
01/01/2022,MON,PM2.5,60,2
01/01/2022,CHO,PM10,92,2
01/01/2022,CUA,PM10,66,2
01/01/2022,FAC,PM10,65,2
01/01/2022,IZT,PM10,121,2
01/01/2022,MER,PM10,102,2
01/01/2022,MER,PM2.5,80,2
01/01/2022,NEZ,PM10,109,2
01/01/2022,NEZ,PM2.5,81,2
01/01/2022,PED,PM10,63,2
01/01/2022,PED,PM2.5,51,2
01/01/2022,SAG,PM10,110,2
01/01/2022,SAG,PM2.5,85,2
01/01/2022,SFE,PM10,52,2
01/01/2022,SFE,PM2.5,35,2
01/01/2022,TLA,PM10,69,2
01/01/2022,TLA,PM2.5,42,2
01/01/2022,TLI,PM10,135,2
01/01/2022,UIZ,PM10,102,2
01/01/2022,UIZ,PM2.5,79,2
01/01/2022,VIF,PM10,207,2
01/01/2022,CCA,PM2.5,50,2
01/01/2022,MPA,PM10,42,2
01/01/2022,MPA,PM2.5,25,2
01/01/2022,BJU,PM10,89,2
01/01/2022,BJU,PM2.5,72,2
01/01/2022,INN,PM10,24,2
01/01/2022,INN,PM2.5,14,2
01/01/2022,FAR,PM2.5,71,2
01/01/2022,SAC,PM2.5,97,2
02/01/2022,ACO,PM10,64,2
02/01/2022,AJU,PM2.5,17,2
02/01/2022,ATI,PM10,54,2
02/01/2022,MON,PM2.5,21,2
02/01/2022,CHO,PM10,72,2
02/01/2022,CUA,PM10,48,2
02/01/2022,CUT,PM10,62,2
02/01/2022,FAC,PM10,30,2
02/01/2022,IZT,PM10,57,2
02/01/2022,MER,PM10,57,2
02/01/2022,MER,PM2.5,31,2
